,Merchants,KNN Prediction
0,SAFEWAY,Grocery
1,Sugar Sugar Hawaii,Grocery
2,Foodland,Grocery
3,Halal Gyro Kabob House,Food Service
4,Walmart,Food Service
5,LILIHA BAKERY PEARL CITY,Food Service
6,Walmart,Food Service
7,Walmart,Food Service
8,Walmart,Food Service
9,DRIVER LICENSE HAWAII KA,Entertainment
10,Walmart,Food Service
11,BEN FRANKLIN CRAFTS #05575,Home Garden
12,COSTCO WHOLESALE,Grocery
13,Walmart,Food Service
14,WHOLE FOODS,Grocery
15,The Counter,Home Garden
16,PHO 777,Grocery
17,Foodland,Grocery
18,ROSS DRESS FOR LESS,Clothing
19,BEN FRANKLIN CRAFTS #05614 (3),Entertainment
20,H MART,Food Service
21,Store 215 Dir Dane Elder,Home Garden
22,Store  Jamie DePrizio,Clothing
23,Dunkin',Food Service
24,University of Hawaii - Manoa Bookstore,Clothing
25,Foodland,Grocery
26,SAFEWAY,Grocery
27,Minit,Health Beauty
28,SAFEWAY,Grocery
29,SAFEWAY,Grocery
30,Daiso,Food Service
31,SAFEWAY,Grocery
32,Kahala,Grocery
33,Dunkin',Food Service
34,Dunkin Donuts,Food Service
35,WHOLE FOODS,Grocery
36,SAFEWAY O,Grocery
37,Grain Exchange,Grocery
38,SAFEWAY,Grocery
39,Dunkin,Food Service
40,Longs,Clothing
41,WHOLE FOODS,Grocery
42,ROSS DRESS FOR LESS,Clothing
43,Target,Grocery
44,LEAHI HEALTH MANOA,Grocery
45,Sam's Club #6410,Food Service
46,GAP OUTLET,Home Garden
47,SAFEWAY,Grocery
48,SAFEWAY,Grocery
49,Walmart,Food Service
50,WALTER,Grocery
51,Krispy Kreme,Food Service
52,Whole Foods Market,Grocery
53,Dunkin,Food Service
54,Olive,Grocery
55,SAFEWAY,Grocery
56,COSTCO WHOLESALE,Grocery
57,Longs Drugs,Health Beauty
58,Dunkin',Food Service
59,Longs,Clothing
60,Hardware Hawaii,Entertainment
61,Kozo Sushi,Food Service
62,KAHEKA STORE,Food Service
63,WHOLE FOODS,Grocery
64,Panda Express #1866,Food Service
65,Walmart,Food Service
66,McDonald's Restaurant,Food Service
67,CVS Drugs,Health Beauty
68,McDonald's Restaurant,Food Service
69,Oahu Honolulu Ala Moana,Clothing
70,SAFEWAY,Grocery
71,Honolulu Intl Airport 0169,Entertainment
72,Taco Bell 001281,Food Service
73,KAHEKA STORE,Food Service
74,McDonald's Restaurant #14616,Food Service
75,Store L,Home Garden
76,Ralphs,Food Service
77,COSTCO,Grocery
78,KAHEKA STORE,Food Service
79,PACSUN,Clothing
80,Longs Drugs,Health Beauty
81,H MART,Food Service
82,Grove Music,Entertainment
83,Taco Bell 002491,Food Service
84,Longs,Clothing
85,Walmart,Food Service
86,Wet'N'Wild Hawaii,Clothing
87,Oahu Honolulu Ala Moana,Clothing
88,COSTCO,Grocery
89,COSTCO,Grocery
90,Sam's Club,Food Service
91,KAHEKA STORE,Food Service
92,KAHEKA STORE,Food Service
93,WHOLE FOODS,Grocery
94,Sam's Club,Food Service
95,"See's Candies, Inc",Grocery
96,Dunkin',Food Service
97,SAFEWAY,Grocery
98,Walmart,Food Service
99,Target,Grocery
100,UNITED STATES POSTAL SERVICE,Entertainment
101,Foodland,Grocery
102,Foodland,Grocery
103,ABC STORES,Clothing
104,Raising Cane's,Grocery
105,Walmart,Food Service
106,COSTCO,Grocery
107,Wal-Mart,Food Service
108,Baskin Robbins,Food Service
109,SAFEWAY,Grocery
110,Panda Express #2150,Food Service
111,University of Hawaii - Manoa Bookstore,Clothing
112,H MART,Food Service
113,How doers,Health Beauty
114,SAFEWAY,Grocery
115,Whole Foods Market,Grocery
116,SAFEWAY,Grocery
117,The Counter,Home Garden
118,"See's Candies, Inc",Grocery
119,T.J.MAXX,Clothing
120,SAFEWAY,Grocery
121,SAFEWAY,Grocery
122,KOZO SUSHI MOILIILI,Food Service
123,Walmart,Food Service
124,KAHEKA STORE,Food Service
125,Whole Foods Market,Grocery
126,Kozo Sushi,Food Service
127,Honolulu Store,Clothing
128,Target,Grocery
129,WHOLE FOODS,Grocery
130,KAHEKA STORE,Food Service
131,T&C Surf Designs Ala Moana,Clothing
132,Taste Tea,Grocery
133,McDonald's Restaurant,Food Service
